# query_id num_block_accesses num_unique_blocks latency_us
374 2416 639 399766
375 1546 431 207319
376 1643 461 254011
377 2114 571 336473
378 2032 581 325172
379 1833 531 298359
380 1860 572 314726
381 2000 543 312784
382 1565 485 254843
383 1670 549 285073
384 1790 570 302906
385 1636 507 265242
386 1777 489 260563
387 1743 558 300572
388 2001 540 305641
389 2301 605 354675
390 1597 559 268312
391 2202 565 341351
392 1491 435 228256
393 1834 581 305072
394 1660 530 275760
395 1813 584 303257
396 2053 607 339486
397 1907 523 290503
398 2000 534 305742
399 1644 490 257658
400 2142 582 335291
401 2043 555 325176
402 1731 518 283972
403 2090 585 345300
404 1677 543 265134
405 1558 546 267727
406 1584 492 254651
407 1564 446 229201
408 1549 515 256558
409 1724 601 307632
410 1765 471 264830
411 1684 502 260031
412 2159 592 336827
413 1824 558 301898
414 2063 592 330254
415 1652 528 269780
416 1747 587 299521
417 2260 606 361867
418 1608 576 270778
419 2339 580 377792
420 1479 456 228785
421 1808 566 298281
422 1788 493 287236
423 1686 510 275773
424 1995 550 306216
425 1640 513 264049
426 1554 433 229815
427 1547 466 237908
428 1655 504 272398
429 1802 561 307788
430 1939 603 323474
431 1735 538 277658
432 1582 553 266030
433 2055 572 337646
434 1730 540 276471
435 1778 525 274713
436 1575 505 260654
437 1591 517 250088
438 2106 584 340338
439 1510 514 253697
440 1967 518 276955
441 1497 532 259026
442 2491 674 414216
443 1631 508 267003
444 1619 516 263722
445 1754 580 296601
446 2053 550 317309
447 1663 550 266093
448 1771 527 292647
449 1668 481 255147
450 1688 467 238533
451 1960 576 341419
452 1765 485 258255
453 1699 553 289382
454 1644 532 277192
455 1760 527 291569
456 2101 546 306702
457 2019 591 304731
458 1669 590 286461
459 1760 532 290813
460 1591 513 253254
461 1691 531 276614
462 2016 585 334912
463 1649 521 263449
464 1800 504 278576
465 1998 553 315526
466 1818 574 291438
467 1705 548 280484
468 1818 563 303342
469 1778 507 273228
470 1741 484 268697
471 1532 536 255118
472 1659 505 270770
473 1490 511 224264
474 1649 544 280147
475 1762 544 289999
476 1579 497 259881
477 1654 498 242265
478 1825 590 310724
479 1845 569 293118
480 1623 503 247494
481 1642 528 272914
482 1680 530 264614
483 1652 573 283094
484 1518 490 254894
485 1712 492 291011
486 1628 480 251146
487 1734 557 296369
488 1703 522 260628
489 2020 565 339491
490 1657 532 268076
491 1584 526 269015
492 1537 436 207384
493 1577 505 263317
494 1785 506 271291
495 1777 518 275669
496 1493 451 227289
497 2176 631 361012
498 1701 561 291027
499 1689 503 274312
500 1610 522 248002
501 1760 502 262750
502 1953 563 309861
503 1483 462 229745
504 1547 480 246365
505 1653 519 268524
506 1490 457 236537
507 1698 538 270703
508 1674 478 248639
509 1945 602 320231
510 1606 529 261877
511 1573 487 239838
512 1743 458 243136
513 1533 477 243388
514 1553 517 251453
515 2009 585 315923
516 2258 569 353562
517 1586 530 255059
518 2031 609 329603
519 2291 619 384661
520 1665 554 276380
521 1701 537 272495
522 1913 501 277457
523 1623 507 244807
524 1824 492 269727
525 1737 476 261150
526 1833 609 301087
527 1705 510 264708
528 1710 573 286892
529 1708 499 251222
530 1999 496 286783
531 2375 637 385546
532 1977 549 285861
533 2688 682 435559
534 1592 546 274631
535 1631 542 306612
536 1521 455 247429
537 1692 535 283468
538 1640 494 253547
539 1745 546 283019
540 1624 525 267188
541 1618 475 245637
542 2087 519 278863
543 1707 524 273720
544 1831 473 246033
545 1619 466 233882
546 2136 596 341989
547 1550 490 249445
548 2034 576 329944
549 1689 509 268519
550 1449 516 256416
551 1623 531 283173
552 1798 534 292643
553 1594 494 261904
554 1827 522 284098
555 1544 520 236272
556 1778 500 250197
557 1563 480 234612
558 1930 577 330582
559 2496 587 379773
560 1729 538 287700
561 1821 601 288818
562 1732 579 303054
563 1625 535 274431
564 1558 466 232813
565 1618 520 255035
566 2211 598 344707
567 1561 502 249459
568 1561 433 219969
569 1759 541 259805
570 1644 572 270698
571 1610 454 243412
572 1774 507 273310
573 1672 540 268052
574 1969 531 284696
575 1665 552 269522
576 1956 539 301689
577 1734 584 310174
578 1646 533 278834
579 1640 517 258286
580 1650 443 221782
581 1700 472 252447
582 2195 650 372070
583 1965 523 298215
584 1508 484 241154
585 2062 599 324763
586 1681 482 239271
587 1487 478 234856
588 1543 498 249930
589 1998 580 312868
590 1525 489 248419
591 1701 549 275534
592 2116 545 315850
593 1587 492 249398
594 1945 585 327133
595 1593 514 259818
596 1497 489 241810
597 2017 583 328443
598 1802 582 302820
599 1754 499 266148
600 2080 600 336162
601 1803 525 300094
602 1568 458 242188
603 1736 422 230647
604 2174 580 334565
605 2184 563 338053
606 1576 475 238374
607 1657 481 255706
608 2068 640 353133
609 1591 435 216974
610 1538 518 256172
611 1799 604 324885
612 1783 509 276495
613 1504 483 234817
614 1817 553 284161
615 1805 535 293781
616 1658 491 260317
617 1845 612 298560
618 1648 510 253594
619 1584 520 271167
620 1825 583 301455
621 2144 564 342764
622 1520 511 249728
623 1577 501 253517
624 1544 524 264592
625 1551 541 295566
626 1610 431 233066
627 1667 493 247532
628 1715 482 276413
629 1670 539 282464
630 1719 578 299843
631 1961 511 284899
632 2241 622 375477
633 1839 494 285617
634 2074 624 342104
635 2330 650 405582
636 1932 553 293818
637 1719 557 284246
638 1683 398 223990
639 1812 493 252019
640 1553 479 240228
641 2236 543 312095
642 2152 530 325586
643 1529 522 268093
644 2401 597 360165
645 1554 501 256891
646 1555 586 273892
647 1704 512 262531
648 1942 569 309401
