# query_id num_block_accesses num_unique_blocks latency_us
585 2062 599 6599
586 1681 482 5338
587 1487 478 5003
588 1543 498 5267
589 1998 580 6588
590 1525 489 5533
591 1701 549 5830
592 2116 545 6895
593 1587 492 5491
594 1945 585 6496
595 1593 514 5804
596 1497 489 5031
597 2017 583 6492
598 1802 582 8448
599 1754 499 5807
600 2080 600 6929
601 1803 525 6136
602 1568 458 5583
603 1736 422 5809
604 2174 580 7378
605 2184 563 7114
606 1576 475 5483
607 1657 481 5481
608 2068 640 6832
609 1591 435 5062
610 1538 518 5170
611 1799 604 6379
612 1783 509 6031
613 1504 483 5333
614 1817 553 6560
615 1805 535 12543
616 1658 491 5697
617 1845 612 6160
618 1648 510 5296
619 1584 520 5223
620 1825 583 6020
621 2144 564 6924
622 1520 511 5444
623 1577 501 5411
624 1544 524 5509
625 1551 541 5356
626 1610 431 5145
627 1667 493 5364
628 1715 482 5511
629 1670 539 5526
630 1719 578 11471
631 1961 511 6364
632 2241 622 7456
633 1839 494 6128
634 2074 624 9658
635 2330 650 7626
636 1932 553 6149
637 1719 557 5668
638 1683 398 5096
639 1812 493 5467
640 1553 479 5092
641 2236 543 7066
642 2152 530 6896
643 1529 522 5468
644 2401 597 7459
645 1554 501 5341
646 1555 586 5409
647 1704 512 5524
648 1942 569 6040
649 1968 564 6315
650 1673 600 12041
651 1624 580 6730
652 1747 542 6035
653 1695 514 6543
654 1653 573 6621
655 1654 560 5782
656 1698 449 5730
657 1819 498 5881
658 1717 468 5541
659 1653 453 5261
660 1850 620 6334
661 1975 522 6505
662 1861 517 6277
663 2116 591 7116
664 1643 513 5621
665 1973 545 6419
666 1720 519 5671
667 1520 464 4921
668 2076 595 6587
669 1539 469 5377
670 1889 582 6211
671 1672 559 5883
672 2302 597 7405
673 1661 513 5790
674 1579 488 5407
675 1553 478 5201
676 1547 506 12925
677 1602 463 5453
678 2156 550 11383
679 1687 444 5422
680 1612 519 5681
681 1767 557 6183
682 2064 602 6901
683 1475 492 5229
684 1694 522 5867
685 2163 635 6912
686 2231 583 6840
687 1613 459 5145
688 1844 550 6045
689 2087 575 6749
690 1705 481 5686
691 1918 518 13800
692 1787 556 6389
693 1769 554 6026
694 1636 495 5449
695 1692 547 5732
696 1849 536 6196
697 1724 606 5981
698 1716 522 5566
699 1907 587 6172
700 1931 652 6640
701 1896 565 6357
702 2037 618 6903
703 2039 611 6885
704 1865 547 6391
705 1694 510 5744
706 1930 581 6376
707 1456 485 4878
708 1516 408 4806
709 1462 522 4978
710 1906 586 6214
711 1454 511 5279
712 1543 503 5591
713 1465 475 5142
714 1588 473 5279
715 1857 582 6368
716 1800 518 6130
717 1806 544 5946
718 1621 509 5421
719 1609 503 5341
720 1569 469 5145
721 1621 534 11256
722 1661 466 5580
723 1552 493 5536
724 1812 524 6245
725 1698 453 5404
726 2085 563 8315
727 1727 544 5839
728 1778 560 5810
729 1570 471 5039
730 1507 469 5034
731 1678 563 5620
732 1758 481 5834
733 1540 496 5309
734 1595 465 5420
735 2328 566 7405
736 1793 549 8201
